Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
1,PROCESS,Oversampling_False,RandomForest,0.8055585702915853,0.0,0.0,0.0,-0.0035502259563616858,1.0,0.9993849938499385,0.0006150061500615006,34,0
2,PROCESS,Oversampling_False,RandomForest,0.678673318009162,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
3,PROCESS,Oversampling_False,RandomForest,0.7308348851644941,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
4,PROCESS,Oversampling_False,RandomForest,0.6349727130977131,0.0,0.0,0.0,-0.002075767954027627,1.0,0.998960498960499,0.0010395010395010396,8,0
5,PROCESS,Oversampling_False,RandomForest,0.9759114583333334,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,0
6,PROCESS,Oversampling_False,RandomForest,0.9979892761394102,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
7,PROCESS,Oversampling_False,RandomForest,0.701800847457627,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
8,PROCESS,Oversampling_False,RandomForest,0.6325772648892425,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
9,PROCESS,Oversampling_False,RandomForest,0.4588848776574409,0.1818181818181818,0.5,0.1111111111111111,0.23437510046496612,0.8888888888888888,0.999548736462094,0.0004512635379061372,9,1
10,PROCESS,Oversampling_False,RandomForest,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1
11,PROCESS,Oversampling_False,RandomForest,0.5655430711610486,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
12,PROCESS,Oversampling_False,RandomForest,0.6732217573221757,0.0,0.0,0.0,-0.0064073499433017125,1.0,0.998326359832636,0.0016736401673640166,30,0
13,PROCESS,Oversampling_False,RandomForest,0.964765100671141,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
14,PROCESS,Oversampling_False,RandomForest,0.950872359963269,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
15,PROCESS,Oversampling_False,RandomForest,0.9316608996539792,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
16,PROCESS,Oversampling_False,RandomForest,0.759572072072072,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
17,PROCESS,Oversampling_False,RandomForest,0.6895942918371323,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
18,PROCESS,Oversampling_False,RandomForest,0.789110877438953,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
19,PROCESS,Oversampling_False,RandomForest,0.8982623318385651,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
20,PROCESS,Oversampling_False,RandomForest,0.7251196172248804,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
21,PROCESS,Oversampling_False,RandomForest,0.5899003165622685,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
22,PROCESS,Oversampling_False,RandomForest,0.9907621247113164,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
23,PROCESS,Oversampling_False,RandomForest,0.841928426316612,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
24,PROCESS,Oversampling_False,RandomForest,0.8654374548083876,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
25,PROCESS,Oversampling_False,RandomForest,0.8575617283950618,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
26,PROCESS,Oversampling_False,RandomForest,0.5525014543339151,0.0,0.0,0.0,-0.001511717956622778,1.0,0.9982547993019197,0.0017452006980802793,3,0
27,PROCESS,Oversampling_False,RandomForest,0.9760438782731777,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
28,PROCESS,Oversampling_False,RandomForest,0.6208733127337779,0.16666666666666669,1.0,0.09090909090909091,0.30017188284730373,0.9090909090909091,1.0,0.0,11,1
29,PROCESS,Oversampling_False,RandomForest,0.8279569892473118,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,PROCESS,Oversampling_False,GradientBoost,0.8905831705375877,0.0,0.0,0.0,-0.005022291575405079,1.0,0.9987699876998771,0.0012300123001230013,34,0
2,PROCESS,Oversampling_False,GradientBoost,0.7838721246800673,0.0,0.0,0.0,-0.003116410513768303,1.0,0.9993153029784321,0.0006846970215679561,42,0
3,PROCESS,Oversampling_False,GradientBoost,0.8443402500665069,0.046511627906976744,1.0,0.023809523809523808,0.15143981199139725,0.9761904761904762,1.0,0.0,42,1
4,PROCESS,Oversampling_False,GradientBoost,0.7831340956340958,0.0,0.0,0.0,-0.002542945035303076,1.0,0.9984407484407485,0.0015592515592515593,8,0
5,PROCESS,Oversampling_False,GradientBoost,0.9744791666666667,0.4,1.0,0.25,0.4992205762993179,0.75,1.0,0.0,4,1
6,PROCESS,Oversampling_False,GradientBoost,0.9959785522788204,0.0,0.0,0.0,-0.0013404825737265416,1.0,0.9986595174262735,0.0013404825737265416,1,0
7,PROCESS,Oversampling_False,GradientBoost,0.8222104519774011,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
8,PROCESS,Oversampling_False,GradientBoost,0.6740504929919972,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
9,PROCESS,Oversampling_False,GradientBoost,0.5447503008423586,0.2,1.0,0.1111111111111111,0.33273327284074816,0.8888888888888888,1.0,0.0,9,1
10,PROCESS,Oversampling_False,GradientBoost,0.9995083579154376,0.0,0.0,0.0,-0.0004916420845624386,1.0,0.9995083579154376,0.0004916420845624386,1,0
11,PROCESS,Oversampling_False,GradientBoost,0.5786516853932584,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
12,PROCESS,Oversampling_False,GradientBoost,0.7067782426778243,0.12121212121212119,0.6666666666666665,0.06666666666666667,0.20585963227048412,0.9333333333333332,0.999163179916318,0.0008368200836820083,30,2
13,PROCESS,Oversampling_False,GradientBoost,0.8154362416107382,0.0,0.0,0.0,-0.0033557046979865775,1.0,0.9966442953020134,0.0033557046979865775,1,0
14,PROCESS,Oversampling_False,GradientBoost,0.9253693964437766,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
15,PROCESS,Oversampling_False,GradientBoost,0.9204152249134948,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
16,PROCESS,Oversampling_False,GradientBoost,0.8393393393393394,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
17,PROCESS,Oversampling_False,GradientBoost,0.8173765341905318,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
18,PROCESS,Oversampling_False,GradientBoost,0.8339175137282393,0.1818181818181818,0.5,0.1111111111111111,0.23261710004721461,0.8888888888888888,0.9989484752891693,0.0010515247108307045,9,1
19,PROCESS,Oversampling_False,GradientBoost,0.8462596820220138,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
20,PROCESS,Oversampling_False,GradientBoost,0.863755980861244,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
21,PROCESS,Oversampling_False,GradientBoost,0.5956422172829527,0.0,0.0,0.0,-0.004552781892069381,1.0,0.9985855728429985,0.0014144271570014145,21,0
22,PROCESS,Oversampling_False,GradientBoost,0.9815242494226327,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
23,PROCESS,Oversampling_False,GradientBoost,0.8890060947022972,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
24,PROCESS,Oversampling_False,GradientBoost,0.8794649313087493,0.33333333333333337,1.0,0.2,0.4465682653001437,0.8,1.0,0.0,5,1
25,PROCESS,Oversampling_False,GradientBoost,0.8472222222222222,0.0,0.0,0.0,-0.014314958357846706,1.0,0.9916666666666667,0.008333333333333333,9,0
26,PROCESS,Oversampling_False,GradientBoost,0.6412885398487493,0.0,0.0,0.0,-0.001511717956622778,1.0,0.9982547993019197,0.0017452006980802793,3,0
27,PROCESS,Oversampling_False,GradientBoost,0.95828025477707,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
28,PROCESS,Oversampling_False,GradientBoost,0.5904212067002764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
29,PROCESS,Oversampling_False,GradientBoost,0.8508064516129032,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,PROCESS,Oversampling_False,XGBoost,0.8454616163808697,0.05263157894736842,0.25,0.02941176470588235,0.07963886757807956,0.9705882352941176,0.9981549815498155,0.0018450184501845018,34,1
2,PROCESS,Oversampling_False,XGBoost,0.7687109763453481,0.0816326530612245,0.2857142857142857,0.047619047619047616,0.11178177140077292,0.9523809523809522,0.9982882574460801,0.0017117425539198905,42,2
3,PROCESS,Oversampling_False,XGBoost,0.8281679524696285,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
4,PROCESS,Oversampling_False,XGBoost,0.6689838877338877,0.0,0.0,0.0,-0.002937101401579822,1.0,0.9979209979209981,0.002079002079002079,8,0
5,PROCESS,Oversampling_False,XGBoost,0.9197916666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4,0
6,PROCESS,Oversampling_False,XGBoost,0.9705093833780162,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
7,PROCESS,Oversampling_False,XGBoost,0.6581920903954802,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
8,PROCESS,Oversampling_False,XGBoost,0.7097758323385065,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
9,PROCESS,Oversampling_False,XGBoost,0.5643301243481749,0.13333333333333333,0.16666666666666663,0.1111111111111111,0.13322919825175597,0.8888888888888888,0.9977436823104694,0.002256317689530686,9,1
10,PROCESS,Oversampling_False,XGBoost,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
11,PROCESS,Oversampling_False,XGBoost,0.3632958801498127,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
12,PROCESS,Oversampling_False,XGBoost,0.7600836820083682,0.0,0.0,0.0,-0.0064073499433017125,1.0,0.998326359832636,0.0016736401673640166,30,0
