Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
1,PROCESS,Oversampling_True,RandomForest,0.8990966293426772,0.08665105386416862,0.9024390243902439,0.045510455104551054,0.12945158677458574,0.9544895448954489,0.9950799507995078,0.004920049200492005,1626,74
2,PROCESS,Oversampling_True,RandomForest,0.88370616816848,0.09883720930232559,0.8742857142857143,0.05237932214994865,0.13154539973094975,0.9476206778500513,0.9924683327627526,0.007531667237247518,2921,153
3,PROCESS,Oversampling_True,RandomForest,0.9156393370993414,0.1742808798646362,0.9537037037037037,0.09590316573556797,0.20878491363067309,0.904096834264432,0.9953445065176909,0.004655493482309125,1074,103
4,PROCESS,Oversampling_True,RandomForest,0.8620387889488721,0.10151293313811616,0.8320000000000001,0.05405405405405405,0.12166805565494455,0.9459459459459459,0.989085239085239,0.010914760914760915,1924,104
5,PROCESS,Oversampling_True,RandomForest,0.9081911892361112,0.25385312783318226,0.9790209790209791,0.14583333333333334,0.2717745807908968,0.8541666666666665,0.996875,0.003125,960,140
6,PROCESS,Oversampling_True,RandomForest,0.9899463806970509,0.0,0.0,0.0,-0.0035609325411018523,1.0,0.9906166219839142,0.00938337801608579,1,0
7,PROCESS,Oversampling_True,RandomForest,0.9450184932490664,0.5318818040435458,1.0,0.3622881355932204,0.47033609408289506,0.6377118644067796,1.0,0.0,472,171
8,PROCESS,Oversampling_True,RandomForest,0.8115117390805817,0.11968777103209022,0.9078947368421053,0.06406685236768803,0.1560134791078651,0.935933147632312,0.9935004642525533,0.0064995357474466105,1077,69
9,PROCESS,Oversampling_True,RandomForest,0.9056141379074404,0.33395452851285873,0.9593147751605996,0.20216606498194944,0.3152660867340297,0.7978339350180506,0.9914259927797834,0.008574007220216607,2216,448
10,PROCESS,Oversampling_True,RandomForest,0.9960668633235005,0.0,0.0,0.0,-0.0009840101080713975,1.0,0.9980334316617503,0.0019665683382497543,1,0
11,PROCESS,Oversampling_True,RandomForest,0.8274207802045197,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89,0
12,PROCESS,Oversampling_True,RandomForest,0.8565063636841092,0.19196428571428573,0.8657718120805369,0.10794979079497909,0.1886307256573189,0.892050209205021,0.9832635983263597,0.016736401673640166,1195,129
13,PROCESS,Oversampling_True,RandomForest,0.9026845637583893,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
14,PROCESS,Oversampling_True,RandomForest,0.9558414866888579,0.33581164807930614,0.9575971731448764,0.20360631104432758,0.31565256684307524,0.7963936889556724,0.990984222389181,0.009015777610818933,1331,271
15,PROCESS,Oversampling_True,RandomForest,0.97097735898756,0.0,0.0,0.0,-0.04163054471218133,1.0,0.9965397923875432,0.0034602076124567475,289,0
16,PROCESS,Oversampling_True,RandomForest,0.9656937342748153,0.41354723707664887,0.9914529914529915,0.26126126126126126,0.3828932589829219,0.7387387387387387,0.9977477477477479,0.0022522522522522522,444,116
17,PROCESS,Oversampling_True,RandomForest,0.8849508996399789,0.10803511141120863,0.898876404494382,0.05747126436781609,0.14497194333921357,0.9425287356321839,0.9935344827586207,0.00646551724137931,1392,80
18,PROCESS,Oversampling_True,RandomForest,0.9651095034171789,0.5232198142414861,0.9912023460410557,0.35541535226077814,0.45916224011414686,0.6445846477392219,0.9968454258675079,0.0031545741324921135,951,338
19,PROCESS,Oversampling_True,RandomForest,0.9114412616380785,0.0,0.0,0.0,-0.02368232454370994,1.0,0.9988789237668162,0.0011210762331838565,892,0
20,PROCESS,Oversampling_True,RandomForest,0.9062880886426594,0.08040201005025124,0.8888888888888888,0.042105263157894736,0.12114063071860516,0.9578947368421052,0.9947368421052631,0.005263157894736842,380,16
21,PROCESS,Oversampling_True,RandomForest,0.8425827099784136,0.10645375914836991,0.898876404494382,0.056577086280056574,0.14380279567732904,0.9434229137199435,0.9936350777934936,0.006364922206506365,1414,80
22,PROCESS,Oversampling_True,RandomForest,0.9526558891454966,0.0,0.0,0.0,-0.004009387611273181,1.0,0.9930715935334873,0.006928406466512702,1,0
23,PROCESS,Oversampling_True,RandomForest,0.8727678968826222,0.2935560859188544,0.968503937007874,0.1729957805907173,0.29343385329730887,0.8270042194092827,0.9943741209563994,0.005625879043600563,711,123
24,PROCESS,Oversampling_True,RandomForest,0.9977160427021853,0.9752858723718186,0.9954819277108434,0.9558929862617498,0.9523079474611109,0.044107013738250184,0.9956616052060737,0.004338394793926247,1383,1322
