Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
1,squid,Oversampling_False,RandomForest,0.7696078431372547,0.02941176470588235,0.02941176470588235,0.02941176470588235,0.01675353685778109,0.9705882352941176,0.9873417721518988,0.012658227848101267,34,1
2,squid,Oversampling_False,RandomForest,0.5564270560339449,0.0,0.0,0.0,-0.00048452381668967796,1.0,0.9999251216772744,7.487832272557094e-05,42,0
3,squid,Oversampling_False,RandomForest,0.4913640097769754,0.0,0.0,0.0,-0.004008637384695962,1.0,0.9991277802006105,0.0008722197993894462,43,0
4,squid,Oversampling_False,RandomForest,0.549153971028971,0.0,0.0,0.0,-0.0009982533369286956,1.0,0.9995004995004995,0.0004995004995004995,8,0
5,squid,Oversampling_False,RandomForest,0.47370936902485655,0.0,0.0,0.0,-0.002390057361376673,1.0,0.9976099426386233,0.002390057361376673,5,0
6,squid,Oversampling_False,RandomForest,0.5538889297626054,0.0,0.0,0.0,-0.00039209930706242743,1.0,0.9999019030802433,9.809691975671964e-05,16,0
7,squid,Oversampling_False,RandomForest,0.26259469696969695,0.0,0.0,0.0,-0.0015134326813422102,1.0,0.9992424242424243,0.0007575757575757576,4,0
8,squid,Oversampling_False,RandomForest,0.984047019311503,0.0,0.0,0.0,-0.0008396305625524769,1.0,0.9991603694374476,0.0008396305625524769,1,0
9,squid,Oversampling_False,RandomForest,0.6608614232209737,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
10,squid,Oversampling_False,RandomForest,0.4782572266443234,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,RandomForest,0.5474642149717832,0.0,0.0,0.0,-0.001746019846390551,1.0,0.9989909182643796,0.0010090817356205853,9,0
12,squid,Oversampling_False,RandomForest,0.5006910850034554,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
13,squid,Oversampling_False,RandomForest,0.5010235414534289,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,RandomForest,0.4715911159657747,0.0,0.0,0.0,-0.005143446510625659,1.0,0.9983615510649918,0.0016384489350081922,30,0
15,squid,Oversampling_False,RandomForest,0.012422360248447228,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,RandomForest,0.5038008955534728,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,RandomForest,0.7479674796747967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,RandomForest,0.4947234352256186,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,RandomForest,0.4992838386249701,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,RandomForest,0.5429698750072001,0.0,0.0,0.0,-0.0015519950456093024,1.0,0.9994815966822188,0.0005184033177812338,9,0
21,squid,Oversampling_False,RandomForest,0.5574796361258101,0.0,0.0,0.0,-0.004310194681289616,1.0,0.9986919555264879,0.0013080444735120995,22,0
22,squid,Oversampling_False,RandomForest,0.5046540490226497,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
23,squid,Oversampling_False,RandomForest,0.35558780841799703,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
24,squid,Oversampling_False,RandomForest,0.9983525535420099,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
25,squid,Oversampling_False,RandomForest,0.5546093027167969,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
26,squid,Oversampling_False,RandomForest,0.5924345295829294,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
27,squid,Oversampling_False,RandomForest,0.4259518259518259,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
28,squid,Oversampling_False,RandomForest,0.8207053072625697,0.0,0.0,0.0,-0.0006045552925221335,1.0,0.9996508379888269,0.0003491620111731843,3,0
29,squid,Oversampling_False,RandomForest,0.4903381642512077,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
30,squid,Oversampling_False,RandomForest,0.6165964278547059,0.0,0.0,0.0,-0.002431559438257244,1.0,0.9992641648270787,0.0007358351729212656,11,0
31,squid,Oversampling_False,RandomForest,0.5096737894150958,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31,0
32,squid,Oversampling_False,RandomForest,0.5004084967320261,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,squid,Oversampling_False,GradientBoost,0.7342505471693855,0.07865168539325842,0.04861111111111112,0.20588235294117646,0.07612913953919188,0.7941176470588235,0.9474491752972766,0.05255082470272344,34,7
2,squid,Oversampling_False,GradientBoost,0.6578827262840741,0.07017543859649122,0.13333333333333333,0.047619047619047616,0.07797428601997045,0.9523809523809522,0.9990265818045675,0.0009734181954324223,42,2
3,squid,Oversampling_False,GradientBoost,0.6356961023945477,0.0,0.0,0.0,-0.005671499825361812,1.0,0.9982555604012211,0.0017444395987788923,43,0
4,squid,Oversampling_False,GradientBoost,0.6436844405594405,0.0,0.0,0.0,-0.0012227581278663237,1.0,0.9992507492507492,0.0007492507492507493,8,0
5,squid,Oversampling_False,GradientBoost,0.43589866156787765,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
6,squid,Oversampling_False,GradientBoost,0.4788601137924269,0.0,0.0,0.0,-0.0010377022380234338,1.0,0.9993133215617029,0.0006866784382970375,16,0
7,squid,Oversampling_False,GradientBoost,0.48333333333333334,0.0,0.0,0.0,-0.002141126370299068,1.0,0.9984848484848485,0.0015151515151515152,4,0
8,squid,Oversampling_False,GradientBoost,0.9613769941225861,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
9,squid,Oversampling_False,GradientBoost,0.6468164794007489,0.2857142857142857,1.0,0.16666666666666663,0.4071063349669284,0.8333333333333335,1.0,0.0,6,1
10,squid,Oversampling_False,GradientBoost,0.5131266582879487,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
11,squid,Oversampling_False,GradientBoost,0.5181447845423626,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
12,squid,Oversampling_False,GradientBoost,0.4898064961990325,0.0,0.0,0.0,-0.0003455425017277125,1.0,0.9996544574982722,0.0003455425017277125,1,0
13,squid,Oversampling_False,GradientBoost,0.4984646878198567,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
14,squid,Oversampling_False,GradientBoost,0.5045694520298563,0.0,0.0,0.0,-0.005143446510625659,1.0,0.9983615510649918,0.0016384489350081922,30,0
15,squid,Oversampling_False,GradientBoost,0.4937888198757764,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_False,GradientBoost,0.4948453608247423,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
17,squid,Oversampling_False,GradientBoost,0.7434959349593496,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
18,squid,Oversampling_False,GradientBoost,0.4926310043668122,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
19,squid,Oversampling_False,GradientBoost,0.516722779693944,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
20,squid,Oversampling_False,GradientBoost,0.5356546281896205,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
