Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
1,squid,Oversampling_True,RandomForest,0.39814659096242755,0.20027247956403268,0.8936170212765957,0.11277330264672036,0.2043005477774475,0.8872266973532796,0.9865746068277714,0.013425393172228618,2607,294
2,squid,Oversampling_True,RandomForest,0.5719118936408233,0.3428536102868447,0.9829847571783056,0.20763758891800824,0.3319448830137704,0.7923624110819918,0.9964058405091726,0.0035941594908274056,13355,2773
3,squid,Oversampling_True,RandomForest,0.6680768123998997,0.4366723259762309,0.9861963190184049,0.2804186655037069,0.39586607237625365,0.719581334496293,0.9960750109027475,0.0039249890972525075,2293,643
4,squid,Oversampling_True,RandomForest,0.75059705529236,0.672174487772637,0.9931640625,0.5079920079920079,0.5781802644545194,0.49200799200799206,0.9965034965034963,0.0034965034965034965,4004,2034
5,squid,Oversampling_True,RandomForest,0.7234927557955463,0.8187429854096522,0.9911684782608695,0.6974187380497132,0.7237182849849426,0.3025812619502868,0.9937858508604207,0.00621414913957935,2092,1459
6,squid,Oversampling_True,RandomForest,0.615306274865606,0.3122160733459982,0.9879769994772609,0.18540317834020012,0.31404697131487874,0.8145968216597999,0.9977437708455955,0.002256229154404552,10194,1890
7,squid,Oversampling_True,RandomForest,0.588336776859504,0.41247002398081534,0.9885057471264368,0.2606060606060606,0.3806992212406254,0.7393939393939394,0.9969696969696968,0.0030303030303030303,1320,344
8,squid,Oversampling_True,RandomForest,0.09235936188077248,0.0,0.0,0.0,-0.0014555053942234234,1.0,0.9974811083123426,0.0025188916876574307,1,0
9,squid,Oversampling_True,RandomForest,0.4556722636030804,0.0982905982905983,1.0,0.05168539325842696,0.162874977704276,0.9483146067415731,1.0,0.0,890,46
10,squid,Oversampling_True,RandomForest,0.5443993429709066,0.08534531162268388,1.0,0.04457478005865103,0.15098159130111735,0.955425219941349,1.0,0.0,1705,76
11,squid,Oversampling_True,RandomForest,0.5530901558357543,0.05991533702377076,0.9387755102040817,0.03094517322569795,0.11360088936635107,0.9690548267743021,0.9979818365287588,0.0020181634712411706,2973,92
12,squid,Oversampling_True,RandomForest,0.5269523151347616,0.0,0.0,0.0,-0.0006914434810468128,1.0,0.9986178299930891,0.00138217000691085,1,0
13,squid,Oversampling_True,RandomForest,0.5040941658137155,0.0,0.0,0.0,0.0,1.0,1.0,0.0,977,0
14,squid,Oversampling_True,RandomForest,0.5100160742787379,0.1304791029561672,0.9770992366412213,0.06990715456034953,0.18379153561639505,0.9300928454396504,0.9983615510649918,0.0016384489350081922,1831,128
15,squid,Oversampling_True,RandomForest,0.0357142857142857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
16,squid,Oversampling_True,RandomForest,0.5525561731382559,0.23786008230452674,0.9763513513513513,0.13542642924086223,0.2600750154013116,0.8645735707591378,0.9967197750702905,0.0032802249297094657,2134,289
